number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
74,0.6352380952380952,2025-12-09 09:32:19.304314,2025-12-09 09:32:19.638636,0 days 00:00:00.334322,0.959143397918442,3.721335767922805,0.015263354143576945,2,2,285,0.6134765895847112,COMPLETE
75,0.6638095238095237,2025-12-09 09:32:19.645621,2025-12-09 09:32:19.956294,0 days 00:00:00.310673,0.9380652221177547,2.2316574786133265,0.02467643338069736,3,3,230,0.6009932868642831,COMPLETE
76,0.6238095238095237,2025-12-09 09:32:19.961160,2025-12-09 09:32:20.303914,0 days 00:00:00.342754,0.9098221692835861,0.0036829752063569643,0.08744741031723695,10,4,298,0.78244185482035,COMPLETE
77,0.6361904761904762,2025-12-09 09:32:20.310589,2025-12-09 09:32:20.673577,0 days 00:00:00.362988,0.9959749380122669,1.473325083385819,0.03379306047924072,3,3,317,0.6527154471388255,COMPLETE
78,0.6238095238095237,2025-12-09 09:32:20.679333,2025-12-09 09:32:21.116375,0 days 00:00:00.437042,0.8510962031163001,2.678667972382823,0.011952967942105824,8,2,330,0.8164469021863247,COMPLETE
79,0.47333333333333333,2025-12-09 09:32:21.120122,2025-12-09 09:32:21.358054,0 days 00:00:00.237932,0.8762929639101906,3.2807320006471845,0.0443234895332076,5,9,282,0.7377315678416386,COMPLETE
80,0.5838095238095238,2025-12-09 09:32:21.362657,2025-12-09 09:32:21.706754,0 days 00:00:00.344097,0.7837068021700044,1.8236889577701618,0.028646560820665082,6,4,268,0.6469753998501283,COMPLETE
81,0.6771428571428572,2025-12-09 09:32:21.711109,2025-12-09 09:32:22.070029,0 days 00:00:00.358920,0.9764181150712707,2.7999248815711786,0.020049181327890273,2,3,301,0.6792796226601621,COMPLETE
82,0.6371428571428572,2025-12-09 09:32:22.076060,2025-12-09 09:32:22.394600,0 days 00:00:00.318540,0.9497438953834784,2.9540484542370162,0.019226251877899746,2,3,241,0.674039844972324,COMPLETE
83,0.6904761904761905,2025-12-09 09:32:22.397637,2025-12-09 09:32:22.854712,0 days 00:00:00.457075,0.9314564627972721,1.061384063904611,0.015663407092024167,2,2,310,0.7009998500218152,COMPLETE
84,0.6914285714285715,2025-12-09 09:32:22.858716,2025-12-09 09:32:23.333289,0 days 00:00:00.474573,0.9378682906941728,1.0715642860319639,0.015519394736897495,2,2,305,0.6979575400904284,COMPLETE
85,0.6904761904761905,2025-12-09 09:32:23.337303,2025-12-09 09:32:23.812295,0 days 00:00:00.474992,0.8979043257961221,1.0853512655123385,0.013214446016169548,2,2,310,0.7036259548972963,COMPLETE
86,0.5952380952380952,2025-12-09 09:32:23.816365,2025-12-09 09:32:24.281120,0 days 00:00:00.464755,0.9399351864590542,1.0591324108591287,0.009277047708363356,2,1,303,0.6998058350352598,COMPLETE
87,0.5695238095238095,2025-12-09 09:32:24.285740,2025-12-09 09:32:24.492479,0 days 00:00:00.206739,0.9840395931060587,0.759285789313223,0.02599849066012953,2,2,77,0.7213829890071239,COMPLETE
88,0.6361904761904762,2025-12-09 09:32:24.497178,2025-12-09 09:32:24.949523,0 days 00:00:00.452345,0.9046036302977803,0.9124188863491624,0.016342109036307458,2,1,310,0.6833045744038749,COMPLETE
89,0.6638095238095237,2025-12-09 09:32:24.952035,2025-12-09 09:32:25.389362,0 days 00:00:00.437327,0.887172496245979,1.2696388248242934,0.006882750334122263,2,3,297,0.7135376206510103,COMPLETE
90,0.5695238095238095,2025-12-09 09:32:25.395012,2025-12-09 09:32:25.807853,0 days 00:00:00.412841,0.9565002748063453,1.614308579292583,0.020331327618119243,2,2,311,0.9843806136647153,COMPLETE
91,0.7171428571428571,2025-12-09 09:32:25.813746,2025-12-09 09:32:26.347214,0 days 00:00:00.533468,0.9747073397678927,1.3820524891657844,0.01334914232615387,3,2,322,0.6972903069147279,COMPLETE
92,0.7047619047619047,2025-12-09 09:32:26.351254,2025-12-09 09:32:26.782941,0 days 00:00:00.431687,0.9982345242413033,1.107201183613622,0.015448919074168396,2,2,318,0.6990266345964818,COMPLETE
93,0.6771428571428572,2025-12-09 09:32:26.786952,2025-12-09 09:32:27.238143,0 days 00:00:00.451191,0.9998000208886679,1.11266865567601,0.012321949943635646,2,2,320,0.7315948232994227,COMPLETE
94,0.6914285714285715,2025-12-09 09:32:27.242155,2025-12-09 09:32:27.733204,0 days 00:00:00.491049,0.9212880773446601,1.3600904317930507,0.01559715160699831,3,1,314,0.6965932612229845,COMPLETE
95,0.6771428571428572,2025-12-09 09:32:27.735209,2025-12-09 09:32:28.238452,0 days 00:00:00.503243,0.9220043396822245,1.3471387399847345,0.01548019269598059,3,1,313,0.6941663364135469,COMPLETE
96,0.5419047619047619,2025-12-09 09:32:28.242200,2025-12-09 09:32:28.853304,0 days 00:00:00.611104,0.8973515032697185,1.0083450264742597,0.008321665446359969,4,1,323,0.7498767727095519,COMPLETE
97,0.6352380952380952,2025-12-09 09:32:28.859059,2025-12-09 09:32:29.396074,0 days 00:00:00.537015,0.911927675214928,0.6842983211096404,0.010863038174161054,3,1,345,0.7170422417708178,COMPLETE
98,0.5961904761904762,2025-12-09 09:32:29.398288,2025-12-09 09:32:29.610912,0 days 00:00:00.212624,0.9414532987549833,1.479307718815583,0.014446464766630446,3,2,116,0.6614821140459728,COMPLETE
99,0.5952380952380951,2025-12-09 09:32:29.614923,2025-12-09 09:32:30.121998,0 days 00:00:00.507075,0.9623863778291039,1.70371556502014,0.011698979514331674,3,1,331,0.6949715928930663,COMPLETE
100,0.6761904761904762,2025-12-09 09:32:30.127753,2025-12-09 09:32:30.554718,0 days 00:00:00.426965,0.8661502151399014,1.2000095275963252,0.009842273976958964,2,2,335,0.7036185334572578,COMPLETE
101,0.5819047619047619,2025-12-09 09:32:30.560027,2025-12-09 09:32:30.963393,0 days 00:00:00.403366,0.9504625468349458,0.8383660222398468,0.013395650786828564,2,2,305,0.5668210777272198,COMPLETE
102,0.6238095238095237,2025-12-09 09:32:30.966427,2025-12-09 09:32:31.405934,0 days 00:00:00.439507,0.9721960055113592,1.3750360868601317,0.022984121982038648,2,2,289,0.7292288087340711,COMPLETE
103,0.5419047619047619,2025-12-09 09:32:31.413109,2025-12-09 09:32:31.876965,0 days 00:00:00.463856,0.7642419039778818,0.9499320094354766,0.017025509920945044,2,3,316,0.9509216552250793,COMPLETE
104,0.6761904761904762,2025-12-09 09:32:31.881387,2025-12-09 09:32:32.479893,0 days 00:00:00.598506,0.9358833254011283,1.1533684095033354,0.018604418045166524,3,2,325,0.6287143587121389,COMPLETE
105,0.6904761904761905,2025-12-09 09:32:32.482930,2025-12-09 09:32:32.872292,0 days 00:00:00.389362,0.98915287993967,1.5065198182456792,0.015027122867381915,2,3,296,0.6654393424010503,COMPLETE
106,0.5961904761904762,2025-12-09 09:32:32.878216,2025-12-09 09:32:33.218665,0 days 00:00:00.340449,0.9901151298625122,1.964287506242087,0.16385069651564896,3,1,309,0.6651030003035358,COMPLETE
107,0.6085714285714285,2025-12-09 09:32:33.222675,2025-12-09 09:32:33.603545,0 days 00:00:00.380870,0.9290608872801429,1.7771481965918339,0.015515035016983003,2,2,295,0.686805354184937,COMPLETE
108,0.6095238095238095,2025-12-09 09:32:33.609298,2025-12-09 09:32:34.039490,0 days 00:00:00.430192,0.9618660312005785,1.524919175181672,0.031189003073184812,3,2,339,0.7137150539471876,COMPLETE
109,0.6238095238095237,2025-12-09 09:32:34.044702,2025-12-09 09:32:34.375880,0 days 00:00:00.331178,0.8973507742171893,1.6799726342090069,0.013044646926220425,2,5,322,0.65444950836441,COMPLETE
110,0.6095238095238096,2025-12-09 09:32:34.381106,2025-12-09 09:32:34.801919,0 days 00:00:00.420813,0.9163280396614595,1.2727709620152512,0.007618770278084571,4,3,278,0.743073607128886,COMPLETE
111,0.6638095238095237,2025-12-09 09:32:34.805931,2025-12-09 09:32:35.203972,0 days 00:00:00.398041,0.9773848241046257,2.1306876089312876,0.02198225491202462,2,3,304,0.7012961120742323,COMPLETE
112,0.6504761904761904,2025-12-09 09:32:35.209242,2025-12-09 09:32:35.670508,0 days 00:00:00.461266,0.9805691131093062,1.0643358077312828,0.01836000209334924,2,3,287,0.593877753666702,COMPLETE
113,0.5971428571428572,2025-12-09 09:32:35.677077,2025-12-09 09:32:36.074237,0 days 00:00:00.397160,0.9493755853501572,4.988261260281714,0.014690584446172668,2,4,315,0.6268625594314949,COMPLETE
114,0.6495238095238095,2025-12-09 09:32:36.079262,2025-12-09 09:32:36.540931,0 days 00:00:00.461669,0.9899389781929838,1.4126808456126854,0.011318734355699772,3,3,333,0.7580520223173892,COMPLETE
115,0.6228571428571429,2025-12-09 09:32:36.545951,2025-12-09 09:32:36.918958,0 days 00:00:00.373007,0.966481119613658,1.1977388597981202,0.016904889853175644,2,2,298,0.6840787039015358,COMPLETE
116,0.6628571428571429,2025-12-09 09:32:36.922968,2025-12-09 09:32:37.285185,0 days 00:00:00.362217,0.8063023628689777,1.6328763169612979,0.026187260554109037,2,2,324,0.7084728035811624,COMPLETE
117,0.6238095238095238,2025-12-09 09:32:37.289196,2025-12-09 09:32:37.682418,0 days 00:00:00.393222,0.9980629490737487,0.8330135565563859,0.006140173957992972,3,3,308,0.6480834442861678,COMPLETE
118,0.6371428571428571,2025-12-09 09:32:37.686428,2025-12-09 09:32:38.024118,0 days 00:00:00.337690,0.9571519633528088,0.300016034816148,0.009280972274311683,2,4,282,0.6712745360896276,COMPLETE
119,0.6361904761904762,2025-12-09 09:32:38.028392,2025-12-09 09:32:38.397639,0 days 00:00:00.369247,0.8204832942000861,4.559851196212712,0.03875358599372828,2,1,293,0.7240747332502785,COMPLETE
120,0.6638095238095237,2025-12-09 09:32:38.401650,2025-12-09 09:32:38.718170,0 days 00:00:00.316520,0.5525068817022851,1.3584336366003336,0.013321792796828916,3,2,207,0.7340081954740962,COMPLETE
121,0.6638095238095237,2025-12-09 09:32:38.722180,2025-12-09 09:32:39.094221,0 days 00:00:00.372041,0.9809510144297122,1.0447476866848946,0.02027534621884041,2,3,303,0.6770764997838027,COMPLETE
122,0.6495238095238095,2025-12-09 09:32:39.098231,2025-12-09 09:32:39.513847,0 days 00:00:00.415616,0.9694247591439085,1.4759043731300854,0.02285172237527259,2,3,316,0.6879942288335922,COMPLETE
123,0.6761904761904762,2025-12-09 09:32:39.517847,2025-12-09 09:32:39.931330,0 days 00:00:00.413483,0.9352573326833611,2.430272748356708,0.02030551560607737,2,3,301,0.6963979759261107,COMPLETE
124,0.7038095238095238,2025-12-09 09:32:39.935377,2025-12-09 09:32:40.397160,0 days 00:00:00.461783,0.9768216498418867,2.310623695761875,0.016371868923769323,2,3,320,0.6833300273394398,COMPLETE
125,0.6238095238095237,2025-12-09 09:32:40.402206,2025-12-09 09:32:40.863959,0 days 00:00:00.461753,0.9483027841923793,2.288036416151528,0.016064259831455607,2,2,320,0.7180146356833704,COMPLETE
126,0.6495238095238095,2025-12-09 09:32:40.868000,2025-12-09 09:32:41.370625,0 days 00:00:00.502625,0.9233387103850145,2.1686674882671166,0.012432432193037997,2,3,343,0.6630145481659954,COMPLETE
127,0.6638095238095237,2025-12-09 09:32:41.375662,2025-12-09 09:32:41.751901,0 days 00:00:00.376239,0.9875886312273818,1.809904267248537,0.010317802493193745,4,4,313,0.7052493606854624,COMPLETE
128,0.6361904761904762,2025-12-09 09:32:41.755911,2025-12-09 09:32:42.177234,0 days 00:00:00.421323,0.8370415147465676,1.2757781332193325,0.014585574575331862,3,3,329,0.6445059359259416,COMPLETE
129,0.6371428571428571,2025-12-09 09:32:42.181244,2025-12-09 09:32:42.495630,0 days 00:00:00.314386,0.7869909773993812,1.1483757896387796,0.016579861328512552,2,5,309,0.6850558801001503,COMPLETE
130,0.6628571428571429,2025-12-09 09:32:42.499642,2025-12-09 09:32:42.990615,0 days 00:00:00.490973,0.9072856510253622,0.6446217148610266,0.02573780596614351,3,1,334,0.6959657130763279,COMPLETE
131,0.6771428571428572,2025-12-09 09:32:42.994664,2025-12-09 09:32:43.370104,0 days 00:00:00.375440,0.9709775985564829,2.8165058700896375,0.0183798966596919,2,3,299,0.6787859131390546,COMPLETE
132,0.6638095238095237,2025-12-09 09:32:43.376120,2025-12-09 09:32:43.772845,0 days 00:00:00.396725,0.9773358042485957,2.555037920623252,0.01859592998241297,2,3,325,0.7108111502863013,COMPLETE
133,0.6095238095238096,2025-12-09 09:32:43.779509,2025-12-09 09:32:44.147495,0 days 00:00:00.367986,0.9574277653180417,2.978996068286711,0.021238107188839214,2,4,318,0.6565348764840949,COMPLETE
134,0.6371428571428571,2025-12-09 09:32:44.151504,2025-12-09 09:32:44.631443,0 days 00:00:00.479939,0.999577975278313,1.5502321453618186,0.029469637835010228,2,2,293,0.6673414845685484,COMPLETE
135,0.621904761904762,2025-12-09 09:32:44.635494,2025-12-09 09:32:45.031556,0 days 00:00:00.396062,0.9403882695979637,3.1992358279768847,0.014313392806798976,2,3,218,0.7227519439457901,COMPLETE
136,0.6628571428571429,2025-12-09 09:32:45.035595,2025-12-09 09:32:45.561566,0 days 00:00:00.525971,0.7311645291168676,2.035671576591053,0.011591979289904493,5,3,308,0.7000316886519422,COMPLETE
137,0.5561904761904761,2025-12-09 09:32:45.566634,2025-12-09 09:32:46.072713,0 days 00:00:00.506079,0.990073720873999,2.3404708521844975,0.013028035765235816,2,2,300,0.9298349829588485,COMPLETE
138,0.6495238095238095,2025-12-09 09:32:46.078654,2025-12-09 09:32:46.485541,0 days 00:00:00.406887,0.9294238300000678,2.701287722971269,0.02380148360237312,2,4,285,0.7399221856822753,COMPLETE
139,0.6095238095238095,2025-12-09 09:32:46.489553,2025-12-09 09:32:46.835414,0 days 00:00:00.345861,0.964947972655666,0.9709565760288182,0.016561641549946902,3,2,193,0.6798692304354319,COMPLETE
140,0.4876190476190477,2025-12-09 09:32:46.839423,2025-12-09 09:32:47.227102,0 days 00:00:00.387679,0.976326477048428,1.946147154810853,0.01888737576994194,2,6,315,0.6930425328556421,COMPLETE
141,0.47333333333333333,2025-12-09 09:32:47.231446,2025-12-09 09:32:47.538947,0 days 00:00:00.307501,0.9916300032904487,1.121677228845289,0.012280053345570302,2,7,326,0.7260338128319446,COMPLETE
142,0.6771428571428572,2025-12-09 09:32:47.544286,2025-12-09 09:32:48.024247,0 days 00:00:00.479961,0.982197506582128,0.897383064634228,0.010749013826604824,2,2,322,0.7331343422649025,COMPLETE
143,0.6628571428571429,2025-12-09 09:32:48.029274,2025-12-09 09:32:48.476051,0 days 00:00:00.446777,0.9504395919272517,1.3764789753958082,0.015249026235650866,2,2,319,0.705702103520248,COMPLETE
144,0.6247619047619047,2025-12-09 09:32:48.480063,2025-12-09 09:32:48.941001,0 days 00:00:00.460938,0.9975311993149484,1.0942697963634138,0.008681656192959545,2,2,307,0.7486896123200476,COMPLETE
145,0.6761904761904762,2025-12-09 09:32:48.945965,2025-12-09 09:32:49.494467,0 days 00:00:00.548502,0.9666857022206704,1.261409934622119,0.014076261810318727,3,3,349,0.7157273120580968,COMPLETE
146,0.6095238095238096,2025-12-09 09:32:49.499544,2025-12-09 09:32:50.139296,0 days 00:00:00.639752,0.8888954986664155,1.5922757069671036,0.02075883472589562,2,1,340,0.7647209347227416,COMPLETE
147,0.6371428571428572,2025-12-09 09:32:50.145952,2025-12-09 09:32:50.656320,0 days 00:00:00.510368,0.9856787294998253,2.8677105151781066,0.017263769295684114,2,2,331,0.5255237534323325,COMPLETE
148,0.6638095238095237,2025-12-09 09:32:50.661900,2025-12-09 09:32:51.208215,0 days 00:00:00.546315,0.8770909431117562,0.7590198158599972,0.012798928566520235,7,2,311,0.6747371731535017,COMPLETE
149,0.6771428571428572,2025-12-09 09:32:51.213123,2025-12-09 09:32:51.651798,0 days 00:00:00.438675,0.7550023318771509,2.4553936612585936,0.010014580543194828,5,3,320,0.689024733055379,COMPLETE
