,NSEP,Coord1,Coord2
0,1997-09-24 02:40:00,-327,-551
1,1997-11-03 10:15:00,278,-381
2,1997-11-27 12:55:00,-874,326
3,1997-11-29 22:25:00,-544,311
4,1998-04-27 08:55:00,-722,-239
5,1998-05-10 13:10:00,-415,-273
6,1998-11-22 16:10:00,-199,-326
7,1998-11-23 10:55:00,-729,-408
8,1999-03-16 21:30:00,532,465
9,1999-04-04 05:15:00,70,-334
10,1999-05-08 14:20:00,623,207
11,1999-06-17 16:45:00,98,-237
12,1999-07-16 15:40:00,442,-302
13,1999-07-24 07:45:00,62,-258
14,1999-07-29 19:30:00,-176,-501
15,1999-08-04 05:45:00,310,333
16,1999-08-21 16:30:00,304,250
17,1999-08-25 01:30:00,-261,-436
18,1999-08-27 12:50:00,232,-424
19,1999-08-28 17:50:00,-283,233
20,1999-11-05 18:00:00,725,137
21,1999-11-14 15:45:00,259,117
22,1999-11-16 04:05:00,544,147
23,1999-11-20 22:15:00,-263,-294
24,1999-11-26 13:35:00,-45,-269
25,1999-11-28 01:25:00,325,-269
26,1999-12-28 00:35:00,750,354
27,2000-01-18 17:05:00,-80,-230
28,2000-03-03 10:40:00,160,-137
29,2000-03-18 23:50:00,137,293
30,2000-03-24 07:40:00,49,330
31,2000-03-30 15:55:00,27,-109
32,2000-04-09 23:25:00,-20,-158
33,2000-05-04 10:55:00,-211,-281
34,2000-05-16 15:45:00,-346,-316
35,2000-06-04 22:00:00,-533,332
36,2000-06-06 13:55:00,-241,338