,Timestamps,Sunspots,AR,Flare Class
0,1997-11-04 05:50:00,28,15,X2.1
1,1997-11-06 11:45:00,23,7,X9.4
2,1998-04-20 09:35:00,8,6,M1.4
3,1998-05-06 07:55:00,26,9,X2.7
4,1998-11-14 05:00:00,19,20,C1.3
5,2000-06-10 16:40:00,33,23,M5.2
6,2000-07-14 10:00:00,65,23,X5.7
7,2000-07-22 11:15:00,120,38,M3.7
8,2000-09-12 11:30:00,3,13,M1.0
9,2000-10-16 06:40:00,22,17,M2.5
10,2000-11-24 04:55:00,28,21,X2.0
11,2000-11-24 14:50:00,22,12,X2.3
12,2000-11-25 00:55:00,0,20,M8.2
13,2001-01-28 15:40:00,23,14,M1.5
14,2001-04-09 15:20:00,33,30,M7.9
15,2001-04-15 13:15:00,38,19,X14.4
16,2001-04-18 02:10:00,7,25,C2.2
17,2001-05-20 06:00:00,0,16,M6.4
18,2001-06-15 16:15:00,53,31,C2.2
19,2001-09-24 09:30:00,70,23,X2.6
20,2001-10-22 14:25:00,33,21,M6.7
21,2001-11-22 22:30:00,29,13,M9.9
22,2001-12-26 04:30:00,0,31,M7.1
23,2002-04-21 00:40:00,26,32,X1.5
24,2002-08-24 00:45:00,71,26,X3.1
25,2003-05-28 00:15:00,0,23,X3.6
26,2003-05-31 02:10:00,8,15,M9.3
27,2003-10-26 17:20:00,0,14,X2.1
28,2003-10-28 09:50:00,50,18,X17.2
29,2003-10-29 20:35:00,65,17,X10.0
30,2003-11-04 19:25:00,3,9,X28.0
31,2011-06-07 06:15:00,0,18,M2.5
32,2011-08-09 07:45:00,0,38,X6.9
33,2011-09-06 22:10:00,0,35,X2.1
34,2012-01-23 03:35:00,6,26,M8.7
35,2012-01-27 17:35:00,4,56,X1.7
36,2012-03-13 17:10:00,4,20,M7.9