,SEP100,Flare Class,AR,Coord1,Coord2
0,1997-11-04 05:50:00,X2.1,8100,414.127,-385.74
1,1997-11-06 11:45:00,X9.4,8100,786,-356
2,1998-04-20 09:35:00,M1.4,8202,451,420
3,1998-05-06 07:55:00,X2.7,8210,826,-253
4,1998-11-14 05:00:00,C1.3,8375,740,460
5,2000-06-10 16:40:00,M5.2,9026,544,347
6,2000-07-14 10:00:00,X5.7,9077,36,211
7,2000-07-22 11:15:00,M3.7,9085,750,183
8,2000-09-12 11:30:00,M1.0,9163,-609,117
9,2000-10-16 06:40:00,M2.5,9182,339,-363
10,2000-11-24 04:55:00,X2.0,9236,-57,325
11,2000-11-24 14:50:00,X2.3,9236,30,322
12,2000-11-25 00:55:00,M8.2,9240,-701,134
13,2001-01-28 15:40:00,M1.5,9313,315,7
14,2001-04-09 15:20:00,M7.9,9415,49,-254
15,2001-04-15 13:15:00,X14.4,9415,876,-347
16,2001-04-18 02:10:00,C2.2,9415,824,-139
17,2001-05-20 06:00:00,M6.4,9455,721,251
18,2001-06-15 16:15:00,,9494,775,86
19,2001-09-24 09:30:00,X2.6,9672,34,-105
20,2001-10-22 14:25:00,M6.7,9672,-292,-399
21,2001-11-22 22:30:00,M9.9,9704,555,-315
22,2001-12-26 04:30:00,M7.1,9742,832,223
23,2002-04-21 00:40:00,X1.5,9906,914,-217
24,2002-08-24 00:45:00,X3.1,10069,928,-140
25,2003-05-28 00:15:00,X3.6,10365,311,-104
26,2003-05-31 02:10:00,M9.3,10365,822,-114
27,2003-10-26 17:20:00,X2.1,10484,596,-3
28,2003-10-28 09:50:00,X17.2,10486,-206,-352
29,2003-10-29 20:35:00,X10.0,10486,116,-362
30,2003-11-04 19:25:00,X28.0,10486,923,-291
31,2011-06-07 06:15:00,M2.5,11226,730,-367
32,2011-08-09 07:45:00,X6.9,11263,867,258
33,2011-09-06 22:10:00,X2.1,11283,260,116
34,2012-01-23 03:35:00,M8.7,11402,361,544
35,2012-01-27 17:35:00,X1.7,11402,851,482
36,2012-03-13 17:10:00,M7.9,11429,797,353